Zip,Telephone,State,SSN,Name Suffix,Name Prefix,Mother's Maiden Name,Middle Initial,Last Name,Gender,First Name,Email Address,Country,Company Name,City,Birthday,AutoNumber,Address,Diagnosis
51770,554-631-4128,MA,903-14-1869,Sr.,Rev.,Kirk,T,Aguirre,Female,Leon,wjolfar@avgzjiexro.com,Turks and Caicos Islands,Compuglobalhypermeganet,Alamosa,2/11/1937,2774,1710 Elm Avenue,lymphoma
93312,342-296-3987,HI,632-87-6291,Sr.,Miss,Leake,Z,Ahmad,Female,Haylie,iaxspqk@qopyudyzso.com,Central African Republic,Acme Corp,Tell City,3/20/1946,1452,4562 Park Avenue,hemorrhoids
81281,327-955-4051,CT,920-25-1590,IV,Mr.,Garcia,G,Ahrens,Male,Jarrett,idhhfdh@kvuaeqgjew.com,Nauru,Allied Biscuit,Newton,3/22/1966,88,4422 First Circle,mumps
21071,239-631-1632,KS,903-34-4037,III,Rev.,Boykin,H,Aiello,Male,Raymond,qdbejmy@xbwkxjlqtp.com,Luxembourg,Petrox Oil Company,Hampton Township,4/12/1978,451,990 Maple Avenue,parkinson's disease
24081,374-865-6408,LA,522-98-4114,Ph.D.,Dr.,Higgs,C,Aiello,Female,Kineta,qztorcz@jdhzcbmptq.com,Saint Lucia,Chotchkies,Mentor-on-the-Lake,3/22/2005,2262,1733 Sixth Circle,munchhausen syndrome
32476,329-535-9322,FL,165-75-2106,III,Mrs.,Albert,K,Aiken,Male,Lynette,jgmpkmv@porukfukwh.com,Ireland,General Forge and Foundry,St. Pete Beach,7/13/1963,425,3121 Third Street,thyroiditis
42124,138-628-9163,FL,570-69-2296,M.D.,Prof.,Rowley,L,Akins,Female,Cleta,hxjispz@wmmrobaram.com,Netherlands,Big Kahuna Burger,Carolina,12/25/1949,128,1149 First Circle,eczema
58347,523-656-7186,MN,779-11-7451,IV,Miss,Sears,F,Alaniz,Male,Rhett,lkkzder@maryvthypf.com,Morocco,Zevo Toys,Mankato,1/3/1999,1361,655 First Street,obstructive pulmonary disease
54731,685-351-6377,NJ,539-96-9783,Sr.,Ms.,Culpepper,N,Albers,Male,Merilyn,ufvnqxm@yphilggctv.com,Uruguay,The Legitimate Businessmens Club,Berkley,6/27/1954,2793,1727 Maple Road,osteoarthritis
44345,196-261-5147,GA,861-36-1961,IV,Mr.,Cassidy,Z,Albert,Female,Iola,fkuvgvj@urzvttyoat.com,Bosnia and Herzegovina,Acme Corp,Lanett,11/10/1960,1371,3304 Maple Street,parkinson's disease
57431,104-848-2431,PA,442-42-6498,Sr.,Dr.,Lawhorn,N,Albert,Female,Carley,szdsynh@ycqosdowyt.com,Holy See (Vatican),Mammoth Pictures,Caruthersville,11/18/1972,1498,4074 Cedar Street,hemorrhoids
84191,249-292-4732,OH,160-47-1876,Ph.D.,Rev.,Hardison,G,Albright,Female,Rogelio,egmzysy@ghjcuxhkvg.com,Luxembourg,General Services Corporation,Cleveland,3/21/1957,1530,64 Ninth Circle,munchhausen syndrome
16390,872-164-6462,FL,695-62-3442,M.D.,Ms.,Behrens,B,Alcala,Female,Kaci,zreqsst@hvddkurtde.com,Mauritania,Three Waters,Valparaiso,8/12/1989,1847,3131 Park Street,pneumococcus
16693,963-615-8825,FL,699-78-4283,Ph.D.,Prof.,Heyward,P,Alcala,Female,Langdon,evcjift@joeihbzack.com,Namibia,C.H. Lavatory and Sons,Marlborough,7/24/1940,366,1793 Ninth Blvd.,munchhausen syndrome
66694,261-404-9824,WI,404-99-6625,M.D.,Dr.,Mcgovern,F,Alcala,Female,Saige,xelzbrj@wmhwsgjwla.com,Kosovo,Praxis Corporation,Elizabethtown,10/5/1993,1281,4458 Fourth Blvd.,gastroenteritis
46128,257-153-7280,OR,384-90-4916,Jr.,Miss,Castillo,H,Alcorn,Female,Cecile,ecjzuhb@gxfrszyyue.com,Greenland,Taggart Transcontinental,Centereach,1/4/1974,465,1745 Fifth Avenue,parkinson's disease
25917,258-951-4316,FL,194-47-2708,Ph.D.,Mrs.,Poulin,T,Alcorn,Female,Duyen,yyudakk@jzmdfsbrgu.com,Haiti,ABC Telecom,Clinton,3/16/1982,2257,905 Fourth Avenue,eczema
68771,857-886-2115,NE,900-81-2738,IV,Mrs.,Speer,O,Alcorn,Male,Laasya,bcruqpv@lsslwxwdrw.com,Guinea-Bissau,Nordyne Defense Dynamics,Bellflower,1/7/1972,846,2727 Oak Blvd.,obstructive pulmonary disease
37773,875-564-8558,CO,902-68-8214,Sr.,Ms.,Gates,O,Alderman,Female,Broderick,xssefxu@dfslfztonm.com,Albania,SpringShield,Glendale,1/8/2007,2018,3793 Pine Road,mumps
98576,394-994-6356,KY,768-39-8428,III,Prof.,Weir,C,Alderman,Male,Jaimie,yblyuro@fowlhbhurb.com,Romania,Spade and Archer,Sleepy Hollow,2/12/1957,1019,2404 Lake Blvd.,obstructive pulmonary disease
22134,627-982-5215,WI,437-54-3516,IV,Mrs.,Dalton,K,Alfonso,Female,Faylinn,zlcmvin@efdobrmfdx.com,Lithuania,Osato Chemicals,Cambridge,10/11/1964,1505,1304 Hill Road,osteoarthritis
16136,780-360-3489,KY,222-92-1995,Jr.,Mrs.,Matos,O,Alfonso,Female,Kelsie,mazrhby@wqgsqekghu.com,East Timor (Timor-Leste),Globo-Chem,Ellwood City,11/13/1936,1824,2356 View Avenue,gastroenteritis
31469,731-486-3130,AZ,198-12-9951,II,Rev.,Longo,K,Alford,Female,Maddox,twesntc@lfklubfzjz.com,Ethiopia,Industrial Automation,Fort Carson,7/26/1938,2937,774 Second Road,gastroenteritis
75733,659-612-8806,MO,951-38-4920,M.D.,Ms.,Story,K,Alger,Male,Lacy,jqjafao@pyozlpmdqk.com,Christmas Island,Gizmonic Institute,Red Lion,1/11/1936,1661,4583 View Street,obstructive pulmonary disease
52053,551-222-5337,AK,624-91-2158,II,Ms.,Richey,B,Ali,Female,Marilee,dotcqey@nrnvmiznmc.com,Malaysia,Tessier-Ashpool,Holiday,5/10/1993,64,1319 Main Road,eczema
87790,970-682-9229,FL,461-14-6064,Jr.,Miss,Kozlowski,E,Alicea,Female,Blythe,yfnblsb@orxlclypch.com,"Micronesia, Federated States of",Widget Corp,Lehigh Acres,3/7/1967,1995,3761 Maple Circle,lymphoma
39755,982-244-5782,VA,324-37-3239,Sr.,Ms.,Macias,B,Allan,Male,Terrell,mwrlxyg@itfpfhclfb.com,Myanmar (ex-Burma),Gringotts,Archdale,5/8/1986,696,534 Lake Street,gastroenteritis
73022,229-699-5205,TN,833-28-2727,Ph.D.,Prof.,Oden,D,Allan,Female,Kahlilia,drvzxko@dnpewumpsg.com,United Kingdom,Corellian Engineering Corporation,Oakville,4/7/2007,1991,3141 Oak Blvd.,eczema
25609,681-501-8387,FL,892-83-5257,Sr.,Ms.,Roth,S,Allard,Male,Aleah,ifosfng@gvaqlphoun.com,Luxembourg,Sombra Corporation,Ketchikan,3/28/1972,1480,2598 Third Circle,eczema
80393,453-845-1561,NH,562-89-6680,III,Mr.,Conners,X,Alley,Female,Lita,woopqys@owabtwtgju.com,Jersey,Compuglobalhypermeganet,Maryland Heights,7/16/1961,1812,4589 Hill Circle,parkinson's disease
92294,288-401-8735,IN,639-40-3696,Jr.,Dr.,Sands,G,Allison,Female,Ah-Kem,udghauk@qxprbffpfb.com,Kiribati,Big T Burgers and Fries,Portola Hills,6/9/1990,1495,2393 Main Road,eczema
96703,308-548-5399,AR,199-35-8901,II,Miss,Holiday,Z,Alonso,Female,Luca,xzosccm@jhkfiybsap.com,S.Georgia & S.Sandwich ,Powell Motors,Iona,6/1/1963,2836,2556 Seventh Circle,munchhausen syndrome
29457,998-708-2360,TX,598-24-3022,IV,Mrs.,Cano,D,Alonzo,Female,Oma,pifegjl@qvztpkeuvy.com,Svalbard & Jan Mayen Is.,Fake Brothers,Tinton Falls,7/19/1954,2074,2979 View Avenue,parkinson's disease
72096,594-949-9672,TX,603-62-1293,IV,Mrs.,Tripp,M,Alonzo,Male,Alden,twqesjn@tjkogegltt.com,Mauritania,Atlantic Northern,Cutler Ridge,6/12/1983,2612,4234 Maple Circle,obstructive pulmonary disease
64893,177-435-5431,FL,115-47-8868,III,Miss,Welker,X,Alvarez,Female,Wardell,uygdmuh@qlvvhqxwou.com,Latvia,Universal Export,Glenn Dale,3/9/1990,2843,2601 Second Road,obstructive pulmonary disease
50807,258-263-3928,VT,221-61-3910,IV,Prof.,Lavigne,P,Alves,Male,Alexus,sluzxdb@ioigoqwnor.com,Estonia,123 Warehousing,Round Lake Beach,10/13/1968,2867,2541 Hill Road,lymphoma
54239,546-286-4818,TN,562-52-7118,II,Prof.,Stephens,B,Alves,Male,Nicole,ermkjfr@uvlmffsxol.com,Falkland Islands (Malvinas),Tessier-Ashpool,North Atlanta,8/14/1973,2361,4232 Ninth Circle,obstructive pulmonary disease
79678,285-522-3451,IL,115-52-9632,M.D.,Mrs.,Loomis,R,Amador,Male,Rollie,afdtxnu@lyhajqfprr.com,Faroe Islands,Kumatsu Motors,Chestnut Ridge,5/17/1952,2942,3421 Sixth Blvd.,gastroenteritis
95649,669-283-9605,FL,541-30-1648,Jr.,Mr.,Tackett,R,Amaral,Female,Brody,odofdvn@jtxxvxdinh.com,Grenada,Cogswell Cogs,Killingly,12/11/1955,685,2424 First Road,obstructive pulmonary disease
14606,947-973-1194,FL,156-82-9148,IV,Mr.,Coles,N,Amato,Male,Trudy,mnltafn@ikgiozawnk.com,Portugal,Klimpys,Whitewater,10/19/1935,1240,3341 Fourth Circle,parkinson's disease
68249,968-983-6561,NJ,384-28-1872,Ph.D.,Dr.,Singleton,B,Ames,Female,Lyndon,yhooznw@uzpqssgkhm.com,Sao Tome and Principe,Nordyne Defense Dynamics,New Berlin,3/28/1966,682,209 Sixth Road,obstructive pulmonary disease
69126,500-828-3409,OH,552-50-8912,III,Prof.,Alarcon,S,Anaya,Female,Kason,ebfqlrg@fxffckkuti.com,United Kingdom,Sonky Rubber Goods,Washington,4/3/1980,1145,2984 Elm Circle,thyroiditis
50785,628-779-4406,FL,494-19-6515,Ph.D.,Ms.,Catalano,I,Anders,Female,Jonnie,yibyyio@ioifmzwhgu.com,Gibraltar,Sto Plains Holdings,Paterson,3/28/1979,2170,4487 Third Circle,parkinson's disease
90784,482-157-8221,MD,379-14-9050,Ph.D.,Ms.,Wilke,T,Anders,Female,Dolly,lerdyin@ahpexmqgcu.com,"Korea, Dem. People's Rep.",The New Firm,Westwego,1/2/1986,2723,4387 First Avenue,obstructive pulmonary disease
83645,745-228-5531,TN,322-49-9478,II,Mr.,Martinson,F,Andersen,Male,Kirsi,mpqmfya@gkdlgbpykd.com,Ghana,Megadodo Publications,Oak Brook,12/28/1940,816,3042 Elm Avenue,gastroenteritis
50103,235-156-2842,CO,171-40-2736,IV,Ms.,Robb,Q,Andersen,Female,Sadie,hpweuiy@bsdfswntcr.com,Turkey,Widget Corp,Idylwood,9/23/2002,2510,1363 Eighth Road,eczema
93797,773-446-7347,NM,643-54-3999,IV,Mrs.,Pollock,U,Andre,Female,Reva,wmillwz@qxwdqlnpoc.com,"Guinea, Equatorial",Widget Corp,Canton,6/9/2008,279,914 Pine Avenue,eczema
29021,733-701-3553,OH,741-34-6211,Jr.,Rev.,Bays,Y,Andres,Male,Morven,uybiduv@jmvuidhlsl.com,British Indian Ocean Terr.,Gringotts,Bellefontaine,4/22/1967,2881,4471 Fourth Circle,pneumococcus
32950,801-488-7454,NJ,388-89-2241,Sr.,Rev.,Brittain,S,Andres,Male,Ananya,scxxazc@uzjjggalzn.com,Dominica,McMahon and Tate,Newport,1/8/2003,2888,90 View Road,parkinson's disease
96444,952-889-7477,FL,354-16-5441,Jr.,Ms.,Gonzalez,Z,Andres,Male,Kaiyo,azketqz@vrlyytkxxv.com,Papua New Guinea,Monks Diner,Orem,4/8/1942,1803,1045 Third Circle,mumps
78740,378-349-7654,TX,153-15-3797,III,Prof.,Swafford,T,Andrew,Female,Lola,iwngwwx@hpkcmbbgvs.com,Brunei Darussalam,Virtucon,Paducah,3/16/1979,2058,4591 Ninth Blvd.,obstructive pulmonary disease
16575,857-954-1959,NC,811-90-9248,M.D.,Mr.,Laflamme,U,Andrus,Female,Annabella,ockejew@wgyprbcsbz.com,Madagascar,123 Warehousing,North Riverside,9/4/1976,2533,2851 Park Street,lymphoma
55885,677-645-4113,UT,679-68-1410,Jr.,Mrs.,East,G,Angel,Male,Tamia,fymrtys@ljsxnkypoc.com,Liechtenstein,Gadgetron,Cazenovia,10/12/1964,2567,1373 First Road,osteoarthritis
34526,606-847-2291,NH,543-16-3989,II,Ms.,Holiday,U,Angelo,Male,Salvatore,jqkbeuh@pifxkadhcn.com,Vatican (Holy See),The Legitimate Businessmens Club,Cumberland,5/12/1944,1034,4340 Main Avenue,munchhausen syndrome
10927,919-465-1534,VA,614-56-5109,III,Rev.,Naranjo,I,Angelo,Female,Lukas,pqyjbbi@ixtdvzazly.com,"Guiana, French",St. Anky Beer,Highlands Ranch,2/10/1965,1490,3213 Pine Street,fibrosclerosis
55702,827-449-7969,WA,165-21-9367,II,Mr.,Arroyo,C,Angulo,Male,Kian,rxjzahl@lurgbucacz.com,Switzerland,Petrox Oil Company,Marysville,6/25/1985,581,4435 Park Road,scleromalacia
15251,398-827-8200,NJ,510-38-6712,Ph.D.,Dr.,Langley,Y,Anthony,Male,Paula,pgoiuez@yhoghlxzaq.com,American Samoa,Wayne Enterprises,Montclair,3/1/1957,481,2521 Fifth Blvd.,lymphoma
38013,556-732-2428,IA,659-70-3871,M.D.,Ms.,Switzer,J,Anthony,Female,Conley,ezmvdop@crelwsacky.com,Saint Lucia,Monarch Playing Card Co.,Mentor-on-the-Lake,2/11/1988,1518,4575 First Road,obstructive pulmonary disease
19442,222-650-3646,OR,450-67-9006,Sr.,Rev.,Gold,Z,Antonio,Male,Kailee,alszyts@hgrycsuhem.com,Italy,Niagular,Pompey,12/20/1985,2666,4688 Third Avenue,mumps
76434,510-317-3344,AZ,994-67-1184,III,Ms.,Mcarthur,X,Antonio,Female,Kadeem,fvsydnf@yvlvdkpxno.com,Senegal,The Frying Dutchman,Perth Amboy,9/3/1978,2624,1221 Main Road,gastroenteritis
90723,219-567-4423,FL,820-31-1772,II,Prof.,Katz,L,Aponte,Male,Vernie,gvtvxzf@cqosbjqwrr.com,Kenya,Roxxon,Show Low,1/24/1977,2210,178 Pine Road,lymphoma
27357,517-475-3933,MA,277-98-3682,III,Dr.,Alderman,U,Aquino,Male,Jackeline,eurogue@rgufxczpxw.com,Burkina Faso,C.H. Lavatory and Sons,Forest Park,5/13/2003,2803,2964 Eighth Road,sickle cell anemia
65371,291-447-8517,TX,347-15-3220,Ph.D.,Rev.,Allen,E,Aranda,Male,Deondre,qdtvgqi@vejbcbtwaq.com,Switzerland,Zevo Toys,Sachse,3/8/1976,2124,2312 Park Blvd.,sickle cell anemia
22235,602-917-6876,WA,193-85-2331,IV,Prof.,Levy,O,Aranda,Female,Kaydence,inwpvvf@havojoblfz.com,Anguilla,Videlectrix,Rockville,5/18/1977,1113,2868 Eighth Street,hemorrhoids
66915,438-276-8358,MO,728-90-7684,Ph.D.,Miss,Daniels,Z,Archer,Male,Dontae,kgpjjlc@xykkpavnme.com,"Virgin Islands, U.S.",Tessier-Ashpool,Hapeville,6/28/1945,149,4066 Ninth Blvd.,osteoarthritis
58649,589-396-8354,NC,446-45-8523,Sr.,Prof.,Hewitt,I,Archibald,Female,Cinnamon,pwqglzo@zzjrvdfkew.com,Indonesia,SpringShield,Muscle Shoals,6/12/2004,18,2780 Park Circle,munchhausen syndrome
48569,666-387-9830,IN,122-26-3397,M.D.,Dr.,Cardoza,P,Arevalo,Female,Ona,sievrjo@lwfdobzyhz.com,French Guiana,"Sample, inc",Municipality of Murrysville,2/12/1952,1892,2642 Fourth Road,parkinson's disease
88449,813-138-9903,NY,839-76-5758,IV,Rev.,Escobar,X,Arevalo,Female,Larissa,nahlsuc@zidlvnclkc.com,Portugal,Globex Corporation,Somerset,4/20/1972,1381,2122 Sixth Circle,osteoarthritis
73143,566-888-4005,OK,285-37-6241,Sr.,Prof.,Conti,I,Armstrong,Male,Stormy,qqccyie@oveoecmrzp.com,Cuba,"Sample, inc",Eden Isle,12/28/1994,2591,4677 Seventh Street,parkinson's disease
94841,788-233-1983,NY,381-86-9510,Sr.,Dr.,Valle,X,Arreola,Female,Luann,mezhavq@ykxwzndvpi.com,Bermuda,Niagular,Rotonda,2/2/1976,1805,2286 Fifth Circle,obstructive pulmonary disease
58573,910-205-2782,NY,267-80-6783,IV,Prof.,Mccain,O,Arroyo,Female,Gertie,ciubmcf@trqjkswxip.com,Vanuatu,Western Gas & Electric,Kettering,2/6/2007,2387,3484 Pine Blvd.,gastroenteritis
59295,591-199-4811,VA,119-62-3937,III,Ms.,Quintero,U,Arthur,Female,Austyn,hdjgxqf@crsxgwkewc.com,Philippines,Extensive Enterprise,Darby Township,6/5/1987,323,4427 Washington Street,eczema
61749,551-211-2123,NH,903-31-9364,IV,Mrs.,Arteaga,H,Artis,Female,George,ukmuxqj@wweowlbfdz.com,Wallis and Futuna,Flowers By Irene,Ottumwa,11/28/1998,1061,1700 Park Street,scleromalacia
46907,128-418-8652,FL,996-39-4053,II,Prof.,Li,R,Asbury,Female,Everley,pnuyaqv@xvzpohuwwi.com,Zambia,Duff Brewing Company,Selden,11/25/1938,1423,3176 Eighth Blvd.,hemorrhoids
60811,947-335-3973,MI,881-45-2782,III,Mr.,Poindexter,V,Ashcraft,Female,Vernon,idigsnq@bdymmeaaus.com,Malta,Tip Top Cafe,Roselle,3/7/1950,437,3472 Third Blvd.,eczema
79933,518-389-2844,NY,975-66-8422,Sr.,Dr.,Bernard,N,Ashe,Male,Lilike,dnnfpvb@usardaijrc.com,San Marino,Chasers,Seekonk,3/23/2001,1064,2597 Main Road,pneumococcus
53649,822-728-2966,MI,772-43-7144,II,Dr.,Galindo,O,Ashe,Male,Kaiya,ashxutf@ebdsceetoh.com,Cote D'Ivoire,C.H. Lavatory and Sons,Waukesha,5/24/1972,113,3836 Fifth Avenue,mumps
96592,837-357-1868,MI,407-77-6581,II,Mr.,Jarvis,L,Ashe,Male,Perla,lbccrjl@pxylqrafrc.com,Afghanistan,"Demo, inc.",Syosset,2/28/1951,1930,1815 Lake Blvd.,lymphoma
42603,833-187-4626,MD,388-35-7786,Jr.,Prof.,Sumpter,B,Asher,Male,Fallon,pmqxnep@jmllaailef.com,Cameroon,"Input, Inc.",Mission Viejo,7/15/1972,1560,1162 Oak Street,obstructive pulmonary disease
63432,333-280-6846,WI,925-33-4475,Ph.D.,Ms.,Bunnell,G,Ashley,Male,Jaunie,txnelbm@crtivqogqy.com,Morocco,Foo Bars,Evansville,6/4/1943,1162,452 Pine Blvd.,parkinson's disease
87149,404-430-4936,MO,165-78-5404,Jr.,Ms.,Manning,W,Ashley,Female,Laci,avxvodn@swlfbslsjx.com,Turks and Caicos Islands,ZiffCorp,Carlisle,4/14/1971,274,4157 Fifth Circle,gastroenteritis
60755,406-783-1658,FL,172-44-7121,III,Ms.,Shapiro,A,Ashley,Female,Noreen,qvlnlku@srqshdyvzx.com,Guatemala,Wentworth Industries,Portage Lakes,12/28/1961,818,3618 Washington Avenue,obstructive pulmonary disease
97417,226-828-2779,AK,417-66-4609,III,Prof.,Whalen,H,Ashley,Male,Zion,slyoupm@xxxwgtvxaz.com,Andorra,Moes Tavern,Paris,9/3/1979,2424,3915 View Circle,obstructive pulmonary disease
52682,264-181-7199,CT,761-91-8224,Sr.,Mr.,Grant,B,Ashmore,Male,Branson,hpgwbez@qezehqltxz.com,Taiwan,Barrytron,Antioch,8/9/1972,861,2218 Oak Blvd.,mumps
91999,821-441-5024,IN,260-82-5266,Jr.,Ms.,Salazar,U,Ashton,Male,Daryl,ffqtivb@waacideixy.com,Mauritius,Klimpys,Archdale,10/14/1995,1422,3966 Cedar Street,eczema
10015,339-913-7756,CA,150-62-6359,II,Miss,Godwin,Y,Askew,Female,Mura,uyusccm@oelfibfomh.com,Tajikistan,Big T Burgers and Fries,Palm Beach,9/14/1937,484,1436 Elm Street,mumps
77153,468-474-7828,IL,239-76-1970,II,Ms.,Berryman,F,Atkins,Female,Munroe,ficakyt@spwvhsgntb.com,Lithuania,General Products,North Providence,7/1/1983,2702,3299 Oak Blvd.,pneumococcus
46481,693-940-4599,IL,245-20-8225,III,Rev.,Tompkins,N,Atkinson,Male,Brandee,djnixfn@myvyxbrzkb.com,Honduras,Tessier-Ashpool,Asheville,1/27/1999,1566,4421 Cedar Avenue,obstructive pulmonary disease
64558,919-111-7058,AZ,211-82-9829,M.D.,Dr.,Clemmons,X,Atwell,Male,Bria,frviyxd@ptwjanbspi.com,Ethiopia,Rouster and Sideways,Cheney,8/9/1942,2430,4321 Seventh Circle,parkinson's disease
51991,845-216-6896,PA,984-67-2765,Sr.,Miss,Lauer,J,Atwell,Female,Leota,fxyydbb@bwabtzhknn.com,France,Milliways,Peru,11/7/1974,2333,3605 Sixth Avenue,lymphoma
11387,811-359-6955,NY,943-60-7534,Sr.,Rev.,Hodges,C,Ault,Male,Kalliyan,iutrojh@licesbojvv.com,Puerto Rico,Universal Export,Chicago,2/17/1935,2251,2011 Fifth Circle,munchhausen syndrome
10982,645-641-9466,NJ,939-79-1010,Jr.,Prof.,Cheng,E,Avery,Male,Rae,ggvlvjf@kwtznigeec.com,Bangladesh,Compuglobalhypermeganet,Lake Lucerne,6/15/1992,867,4588 Oak Street,parkinson's disease
40475,525-957-7517,NJ,669-83-2033,II,Rev.,Dew,X,Avery,Male,Flossie,pmankpy@apmhioxikb.com,Nigeria,Sonky Rubber Goods,Bozeman,7/2/1980,114,2936 Hill Blvd.,osteoarthritis
